A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,C,A,A,A,A,C,C,C,C,C,A,A,A,A,A,A,A,C,A,C,A,C,A,A,A,A,A,A,A,A,A,A,A,C,A,C,C,C,A,A,N,N,N,N,N,N,N
63.7,56.3,122.6,362.5,115.5,52,156.2,65,272.4,199.8,220,121.2,326.9,121,98.9,86.9,57,144.9,224,122.4,72,93,115.5,132,113,99.1,103,244,84.1,68.9,107.1,106,113.8,119,233.5,99.8,131,79,169.4,74.6,68,70,171.9,41.6,142.4,160,65,116.2,62.7,455.8,455.9,131.8,73.6,137,105.3,95.3,73.9,110.5,263,118.9,135.4,112.2,150.5,156.9
107,118.9,174,396.9,90,185.3,204.3,103.5,691.6,256,221,122,551,131.1,265.8,137,148.3,188.2,281.3,252.7,146.2,236,214.5,203.1,126,149,178.3,237.7,169.1,133.5,94.4,125.4,176.3,188.9,229.3,156.8,163.3,268.3,252.3,274.9,136.5,141.7,182.5,254.6,411,265,166.5,185,172.9,599.7,520,340.6,433.2,139.3,153.3,174.9,318.1,181,244,196.2,254,135.4,261.6,210.2
-78.3,-80.7,-85.2,46,-76.4,-50.2,-125.7,-121.3,-52.2,21,-128.2,-130,47.3,-133.6,-110.9,-67,-104.7,-87,21,-34,-90.6,82.8,-156.9,-187.2,-131.4,-32.7,-183,-32,-138.9,-41.7,-109.1,-49.9,-79.3,-2.1,-102.2,-154.6,-152.7,-28.8,-46.4,-166.2,-140.8,-128.6,-106.9,-118.2,-26.8,-183.1,-196.9,-99.1,-89.5,175.9,107.2,49.7,27.8,-148.7,-72,-159.6,30.4,-215.8,-144.5,-137.6,-171,3,-113,-108.3
49.2,22.2,-69.2,60,81,105,49.7,67,0.7,107,-21,13.7,140.2,69.7,12,-1,-11.1,-7.2,136.5,-51,-64.5,-46.7,-61.2,65.9,96.8,101.3,94.7,-15,-19.6,75.5,128.3,17,14.8,-11.2,-64.8,72.9,78,-34.2,274.4,-69.9,22.7,169.1,4.3,3,-52.8,10.4,-19.2,-9.4,-38.4,-27,-12.1,-91.9,16.4,-49.6,14.8,34.3,9.4,55.1,-10,-0.4,22.7,52.7,10,23.9
609.4,708.2,582.7,1062.6,1005.8,1561.9,1142,951.9,1168.6,732,1165.9,604.7,610.5,932.1,510.5,450.5,892.9,631.6,715.9,1018.5,544.2,765.8,442.7,671.4,650.4,954.8,528.1,987.2,576.9,822.6,807.1,622,769.6,571.2,741,708.1,850,707.1,921.8,952,593.4,963,704.3,455,401.7,793.8,944.2,668,493.6,722.5,886.7,469.7,1103,971.6,602.3,515.3,589.3,664.6,767.4,570.2,531.6,448.8,473.7,571.5
447,2771.2,327.1,460.4,3691.9,1583.4,832.2,3400.9,1919.2,2812.1,4695.3,373.9,654.1,1026.3,4377.6,2740.1,10132.4,394.9,410.1,849.1,1072.3,489.3,555.3,1473.8,2751.1,1589.1,1916.6,398,2160.1,667.8,301.5,688.8,699.1,1488.7,1058.7,4419.9,635,223,3703.9,7542.7,967.4,550,429,613.4,1452.8,4051.6,455.2,2779.2,857.1,2705.7,103,2693.9,552.8,302,690,1340.6,1017.8,381.6,583,852.3,148.7,1475.3,649.9,906.3
30.8,75.5,32,47,34.8,34.3,27,69,-16.9,-6.8,49.4,11.3,-26.6,21,21.8,46,43.8,57,75.5,1,78.1,15.5,17.7,40.7,53,35.5,30.5,44,8.3,70.4,36.2,-12.2,43,-4.2,-24.9,28.6,18,-2.4,73.6,3,27.5,58.3,43.3,42.4,1.2,24.6,58.1,-4.3,62.7,83.2,24.3,16.3,1.9,29.6,25.3,61.6,52.8,26.9,-1,67,46,54.9,65,53.2
99,111.6,157.1,325,131.9,181.5,224.1,161.4,860.9,227,201,105,415.1,166.9,365.1,124.5,134.7,145.9,648.4,156.9,160.3,378,265,89.1,182,174,214.1,176.8,126,280.9,100.7,203,187.7,414.4,438,255.1,193.6,324.5,295.5,240.9,128.2,211.7,130,182,1137.1,190,230.1,115.3,219.4,521.5,535,397.6,98,153.3,212.2,109.5,434.4,270.4,198,224.9,197.7,217.8,141.8,146.2
53.4,67.6,66.8,125,66.8,76.4,55.6,43.8,152.4,17.2,54.5,71.1,79.8,90.2,95,77,27.2,22.2,41.3,104,53.7,115.5,65,48,74,50.8,78,86,16,80.8,56.3,19,63,56.4,124.5,50,58.6,54.2,99.7,131.9,40,70,124.5,30.5,206.9,99.1,18.9,16.6,-3,266.8,111.1,-27.6,67.3,25,43.8,33.2,32.6,133.5,98,117.1,98.8,39,85.8,80
28.4,4.2,3,1,10.4,2.3,-28.9,37.2,24.5,12.5,39,5,156,-11.1,-15.5,52.8,8,-14.4,13.5,-1,27.5,-34.8,22.7,3,9,63.4,22.7,68,43.3,10.2,25,20,4.3,6,85.5,85,36.2,-18.2,251.1,39.7,11.8,-31.3,16,72.9,-26,38,-19.2,12.5,-11.7,131.9,48.5,9.9,36.8,5,29.6,-10,26,32,65.9,59.3,-14.6,53.4,56.4,54.5
68.5,57,35.5,152.6,71.1,88,53.4,43.8,295,81.2,116.2,54.9,219.2,52.8,62,72,89.2,79,231.6,72,130,47.9,116.3,110.5,99.8,101.3,130,160.1,135.6,62.7,40,54.5,85,53.2,168.3,296.3,73,75.1,614.4,169.4,24.3,85.4,91.8,60.4,68.7,20.3,91.3,71.2,84,337.7,183,295.6,232.1,62.7,56.3,52.8,131.1,179,120.8,87.1,121.6,69.4,83.5,153.7
288.9,326.1,383.1,1286.3,669.6,437.3,672,330.6,732.4,216.2,310.8,342.1,406.4,487.2,297.7,356.4,286.2,265,131.9,338.3,769.6,260.8,440.1,529.1,523.8,751.3,363.8,720.8,184.7,333.4,598.3,275.3,387.9,361.5,514,391.5,392.4,293,1324.6,378,382,369.9,601.4,315.8,96.8,514.9,505.8,294,269.1,525.5,542.9,324.4,426.3,359.4,428.2,289.9,281.4,323.7,623.8,425,442.8,597.2,405.4,526.6
1053.2,4190.3,449.5,687,1194.1,413.8,779,418.2,4967.3,1392.6,2232.4,1333.2,5684.5,417,4613.9,3642,7855.9,628.1,831.8,2302.2,288,251.4,516.9,524.2,528.1,1065.9,2208.8,490.5,3405.9,479,1610.6,941.6,3269.7,571.2,2688.1,1524.3,938.3,713.7,1160,1498.1,579.5,376.4,1478.4,889,5625.2,799.9,532.3,947.2,1065.9,10276.1,722.1,1003.8,758.7,1520.7,2370.9,4016.3,697.8,496.1,946.1,820,477,542.7,935.4,878.9
24.8,43.8,31,162.6,44,48.5,10.2,71,44.1,59,65,63,272.4,78.1,81,83.5,61.6,55.6,75.5,58.1,126.7,74.8,72.9,65,29.6,37.2,52.8,115,121,51,53.4,53.7,81,94,119.8,62.3,94.7,43.7,128,195.3,30.5,35.5,146,214.5,116.1,85,91.3,3,76.7,77.8,52,78.4,49.5,34.8,30.8,40.2,77.1,72.9,84,118,59.7,52,78.1,95.8
199.4,172,288,314.7,201.8,298,213,242.2,265,225,231,255.4,214.5,325.9,227.8,258,166,257.3,263.9,352.3,243,409.1,478,336.1,404.5,429.9,272.9,470.1,442.2,282.7,323,217.3,364.9,204.5,354.2,322.9,278.4,269.9,327,330.6,170.4,386.2,226.6,348,251.3,207.7,255.3,269.6,233.5,573.6,468.1,694.5,87.3,206,290.1,264,379.9,205.2,272.1,218.3,198.3,229.7,206,240.4
378,522.1,558.9,592.4,493.8,517.2,428.2,402.9,491.3,605.4,703.3,524.4,535.9,437,645.8,419.8,479.5,484,464.4,375.4,361.6,479.1,549.2,308.8,272.1,297.4,499.1,508.1,645.3,393.3,420.2,527.9,498.5,723.1,319.1,378,426.8,558.2,442.5,655.3,474.6,340.5,557.2,742.5,169.6,625,378.7,486.1,619.8,531.2,580.5,614.7,554.7,552.3,476.6,631.5,655.7,533.3,604.2,406.1,475.2,421.1,575.8,534.4
238.5,400,340.5,365.3,252.6,433.8,289,224.7,284.3,302.5,339.1,325.4,206,245.2,292.3,236,393.8,273,209.6,601.8,141.2,209.8,569.6,422.4,447.7,444.6,422.2,389.5,260.8,258.6,273.7,251.5,413.3,361.5,267.7,205.1,169.6,314,175,487.2,551.8,140.5,211.7,254.6,289.1,188.9,184,269.6,264.1,240.1,114.2,207,165.1,232,270.3,492.2,277.3,220.4,247,200.7,158,379.3,196.7,317
528.7,618.6,530,486.3,427,393.6,622.9,367.1,1181.8,607.2,656,525.2,740.6,625.5,507.1,438.9,667.6,422.2,735.3,406.3,424.6,1011.9,548.3,404.1,404.5,378,593.4,440.3,629.8,550,423.3,549.3,578.6,637.5,498.4,487.2,373.1,468,408.4,498.7,413.6,485.9,442.3,691.8,1102.4,618.8,616.3,536.8,629.8,571.1,397.8,618.4,488.9,441.4,484,529,806.6,604,532.6,466.3,560.4,439.4,490.3,510.2
16,108,32,195.1,52.8,15,141.5,159.1,73.9,47,50.2,85.4,-36,37.6,44,48,28.4,75.1,13,32,17,83.5,223,36,115.5,61.8,395.9,26.9,5.7,-0.3,151.5,30.8,117.2,282.2,254,39.8,202.4,26.9,230,119,106,103,62.7,14.4,49,90.2,39.8,59.3,-5.8,103.7,108.8,213,279,76.4,35,121,41.3,155.8,365.4,97,91.3,123.6,99.7,72
10.8,70.2,23.5,84.6,43,31,37,35.5,144.9,-39,74.6,-13,133.8,59.7,36.7,0,61.6,11.3,22.8,11,-24.8,30.9,99,39.9,11.8,3,39,9,44.1,2.3,49.7,20,18.8,14.4,52.5,139.7,-3,27.7,-5,72.9,41,58.3,18.1,72.9,48.3,34,0.3,-9.4,52,65,63.5,111.1,1.1,12.5,3.9,60.4,19.9,17.7,71.1,3,34.3,60,42.4,71.2
650.7,795.5,412.5,437,375.8,454.9,404.1,304.7,344.6,372.5,444.7,566.5,494.9,482.2,313.8,466.3,578.3,738.4,251.8,418,360.3,431.7,651,850.2,656.7,720.7,1055.1,565.5,653.9,193.6,384.3,339.3,430.9,457.2,600.5,483.6,509.4,265.8,480,901.3,466.4,570.1,334.1,172.9,258.2,399.4,179,498.7,347.1,609.6,439.8,758.3,67.9,471.1,774,499.7,485.9,219.6,476.1,433,430.3,761.5,497.7,693.8
1254.4,1293.3,1220,738.6,703.6,3401.2,1109,888.4,1706.5,1108.1,1340.8,970.3,1278.1,2401.5,1030.1,958.3,1439,800.1,1386.3,1355.4,1168.3,613.3,1363.2,842.2,1361.1,1512.3,1971.3,1477.1,2022.3,439.4,1057,1328.3,1419.7,1115.2,1190.1,749,1350.9,1143.4,1028.6,1273.2,805.5,1253.8,732.2,596.1,1755.3,964.8,860.8,1102.4,609.4,1350.6,1122.8,1676.1,796.9,1138.1,1125.7,1201.2,1552.6,517.3,843.3,795.7,743.9,981.6,774.6,1301.1
319.3,172,358.5,510.5,190.8,350.6,631.3,59.3,757.1,910.1,598,386.5,490.6,171.3,894.4,550.8,230.8,1039.8,318.1,159.2,163.7,1029.5,310.8,324.3,462.4,465.9,179.3,626.7,192,403.8,507.3,188.3,234.3,234,377.1,196.2,421.7,652.9,186,322.8,397.3,184.7,880.5,510.7,476.2,207.7,586.8,360.8,893.1,524.7,870.3,506.6,931.1,937,944.9,627.2,293.3,636.8,1006.8,630,926.3,896.7,1092.3,696.9
9298.7,10859.5,6320,6383.7,9383,10287.6,8412.7,7066.4,10882.5,7593.9,9944.4,10678.9,8060.8,6246.4,11244.4,5799.3,7830.9,7654.8,8849.4,14064.9,14448,8005.5,9788.2,8860.9,7381.2,10464.6,9860.2,10658.3,12645.8,11336.3,10557.1,8798.5,8820.4,8518.4,7579.9,8992.1,8067.2,5620.8,8873.3,8038.2,5974.2,17050.2,7701.5,13003.8,11039.1,9012.6,7750,7354.7,9167.2,7177.2,6340.6,7064.2,7747.1,7848.6,9515.5,10030.6,8370.9,9703.3,9018.6,8647.2,10103,7962.1,8103.2,10669.6
320.9,173,314.9,275.5,344.4,493.5,290,459.3,655.3,361.4,467,464.9,648.9,457.7,523.9,320.8,436.9,530.7,519.3,277,176,411.9,290.1,206,312.5,326.3,349.7,315.1,622,313.8,366.5,355.5,212.8,406.2,381.8,458.6,406.8,344.8,375.7,377.1,390.9,350.4,317,339.3,985.4,386.9,390.5,478.8,542.2,555,524.4,769.5,727.5,695.4,471.1,430.3,576.2,317,479.7,419.7,432.8,452.5,320.8,395.2
566.3,540.9,571.5,1248.2,822.4,1096.8,893.7,924,481.1,720.5,686.3,439.8,820,764.5,848,749.4,632.4,845.2,615.7,1280.2,3000.6,1330.1,1374.3,1239.2,1157.6,1337.1,1191.5,1340.6,783.3,634.8,1092,813.7,449,506,783.3,947.8,812.5,1091,961,996,874.9,936.9,1157,525.2,600.4,845.4,969.2,765.2,608.6,932.8,805.9,884.4,729.8,934.8,515.4,780.4,375.9,450.4,496.1,424.3,480.6,507.2,430.5,501.7
169.3,267.6,193.4,384.6,234.8,398.2,221.5,223,110,310.2,345.8,360.2,191.1,190.9,230.6,251.8,424.7,278.3,156.2,410.2,423.4,132.8,343.2,416.1,422.8,245.8,436.5,363,117.1,97,259.5,320.9,156.7,274.9,244,316,251.5,262.8,314.9,343.2,429.3,451.8,237.5,131.2,192.5,232,151.4,350.2,263.2,165,329.4,166,315.9,262.4,235.4,348.9,231.4,268.8,328.5,330.7,274,429.3,299,394.5
499.6,477.6,651.8,633,651.2,1316.8,600.3,753.9,815.1,618.3,544.2,747.5,836.9,712,773,850.7,668.6,668.1,630.8,839.7,1002.7,670.7,1238.6,899.2,650.4,734.8,1186.6,645.6,709.8,550,841.5,773.5,443.2,634.6,1099.9,701.2,709,895.7,608.7,736.5,600.8,901.4,780.4,853.5,1218.6,643,681.9,857.2,726.2,576.1,644.5,959.9,1007.1,769.9,961,789.1,937.3,631.6,821.9,555.7,640.4,713.5,539.1,675.6
112.6,74.6,82.4,436.3,99,246.1,93,109,141.7,212.8,180.4,85.4,244.1,91.3,98.9,118,48.5,161,123.1,211.3,191.9,209.8,217.3,325.2,180,171.2,78,140.8,49,148.7,81,91.3,95.8,158,273,205.1,57,272.4,104.7,235.6,52.8,191.7,66,70.2,281.8,443.7,106,126.7,107.1,197,275.3,182.4,481.9,80,106.2,101.3,157,112.2,113.5,108,156.1,64,26.9,84
463.7,642.4,517.7,880,435,773.7,361.2,440.5,368.3,426.2,433.7,629.2,512,464.2,526.4,447,529.8,565.9,343.7,1152.1,866.8,506.2,830.1,672.9,885.1,548.7,576.9,551.5,411,433.8,718.1,491.4,456,400.5,729.7,532.9,518.6,652.9,515.9,775,644.9,570.1,423.7,205,252.9,710.7,432.9,471.5,497.8,532.1,455.9,601,360.7,435.8,450.7,521.7,361.4,485.8,608.4,429.7,472.5,519.5,393.4,504
-17.9,-21,-11.1,30.5,4.2,29,-6.9,35.5,-4.2,9.9,-6.8,-17,13.9,0.6,55.6,9,22.7,-3,4.1,-9.1,4.2,50.2,20.2,24.3,50.6,78.1,18.5,-23,9,-25.7,0.6,-3.8,4.3,1.6,9,25.3,-5,12.1,19.9,18.5,-29.2,25,47,14.4,47,-13.9,-3,-13.4,31.2,-2.5,-2.7,-13.6,16.4,5,-6.5,-12.8,-3,4.7,9,-6.9,-13.7,-3,-33.7,-25.7
265.9,403.2,355.3,251.1,394.5,433.8,435.8,289.8,553.8,562.9,619.2,437.7,721.6,368.3,380.2,377.3,390.8,427,340.5,516.1,366.4,584.8,454.8,276,280.9,331,335.8,495.1,598.4,384.4,353.1,344.1,339.1,356.7,652.9,439.1,537.6,466,704.9,534.3,386,348.8,462.7,465,1020.1,541.8,550,470.6,462.5,752.7,569.5,692.1,704.8,335,462.7,368.6,975.5,374.2,572.9,345.3,433.6,310.7,421.6,523.5
541,124.9,14373.6,3,79,144,78,49.2,210.7,145,180.4,1890.2,149,4675.6,102.5,126.7,504.6,89.1,248.5,72,124.5,142.1,98,69.4,22,68.5,125,93.6,68,138.8,61.6,118.9,21,947.3,2.2,81,39,144,49.2,14.2,54.5,70,67,18.5,407.6,208.6,3126.6,40.5,129.1,77.8,28.2,45,1.4,79,96,60.4,5269.9,45,144,74.3,77.4,130,101.3,28.4
1124.1,929.1,1805.9,1860.5,1814.2,676.7,1522.5,2846.9,2476.2,2724.2,2271.9,2008.8,1347.5,2952.8,2199.5,667.7,972.2,2562.4,3511,753.2,672.9,2092.2,968.7,970.2,1675.8,742.7,817.9,832.1,1024,2392.5,1276.2,1918.8,1444.6,1364.1,3629,1257.4,1094.8,966.5,2181.7,2968,1109.3,529.9,1265.9,1084.4,3440.9,2357.9,3244.7,1215.5,2492.1,1989.5,3862.4,3678.7,1531.4,957.4,1211.3,1704.1,5644.2,2505.9,1529,1552.8,1963.5,875.4,1521,1567.5
120,194.8,165.5,277.5,190,233,226.3,146.8,276,233,335.8,203.3,300.9,237.5,171.5,164.6,198,168,330.9,177.4,178,234,220.2,124,65,126,144,180.6,243,265,129.1,187.5,151.6,274,266.8,241.1,210.6,164.9,171.7,258,209.6,221.9,269.1,421,611.7,322.3,322.8,240.3,187.3,302,191,634.1,238.5,172,297.3,103.8,330.8,214.5,340.9,133.5,203.9,113,184.7,213.4
2,39,5.2,17.1,-6.5,-4.4,39.9,5.4,-11.4,-30.8,16,21,4.4,19,-39.9,26,22.7,25.4,9.5,-25,-4.2,-4.9,-8,-2,-30,-19.8,9,-26,42.4,21,-3,8,16.6,23.8,7,-26.3,4.2,8.3,-36.7,42.3,10.4,39,16,-18.8,50.7,52.7,65.9,34,34,-7.2,23.5,12.1,-3.9,5,17.7,16,17.4,-1.5,-24.9,-13.7,32,16,-27.9,43.3
24.8,16,21.8,69.4,1.3,-8.6,8,7.8,31.1,140.8,4.5,4,18,3,-8.7,-8,6,16,-6.9,3,1.5,54.5,4,-6,14.6,13.2,-4.4,5.2,-7.1,16,6,0,1.7,-4.2,7.4,40.5,7.8,41,27.3,15.1,-7.7,-15.5,-7.7,-8.6,115.5,47,21.7,2.4,5.6,59,153.3,39.9,29.7,-4,-1.3,-1,55.8,11,28.2,19.3,-1.3,-26.5,31.1,-7.5
67.6,32,56.4,25.4,34.8,16,86,52,-27.2,-10.7,81.2,72,-1.5,110,112.5,92,27.2,75.1,190.9,116.2,134.2,65,27.2,54.5,41,170.2,100.5,94.7,86.7,73.8,91.6,61,17.1,70.4,14.8,84,138,43.7,18.8,109.8,30.5,141.7,52,158,109.9,54.9,-11.8,155,48.5,-0.6,-0.7,47.9,128.3,178.3,61,88,102.7,50.2,120.8,108.9,114.2,46.2,51,60
340.2,440.1,485.3,489,285.5,600,386.4,431.9,508,393.8,288,412,438,624.1,405,372.4,623,432.6,346.9,523.1,492.8,528.6,466.8,698,643.4,645.6,458.5,588.7,662.5,315.9,289.9,519.8,319.7,461.8,426.8,311.8,281.3,351.6,446.1,356.6,378,326.2,313.8,398.9,391.5,397.6,383.9,396.8,318.9,540.2,410.1,571,601.2,420.9,438.4,389.5,421.8,278.8,380.9,265,312.3,356.2,248.9,385.2
80,103,91,102.5,93,160.5,110.7,88,260.8,138.6,166,73.6,200.3,108,79,111.8,147.2,118,57.7,101,116.2,131.9,133.5,94.7,138.2,94.7,128,83,104.7,103.5,79,113.8,85,113.4,66.2,181.5,127.6,84,149.6,150,115,130,102.5,162.6,175.6,181.5,133.7,90,136.5,342.4,240,203,193,138.2,86,92.5,125.4,86.9,98,36.7,96.9,90.7,66.6,105.3
6,17,-12.2,37.2,5.4,32,10.2,6.6,148.7,41.6,60.4,11.3,83.9,14.6,17.2,-25.3,18,-0.4,-30.5,-13.7,30.5,88,-51.6,28,13.2,-10,29,24.3,21.8,25.3,10.8,6,43,-28.1,88,-25.4,17,45,1.6,45.9,9,7,20.3,17,114.2,39.9,14,10.8,91.8,117.3,93.5,58.3,46.3,-9,-6.5,26,27.1,-28.5,34.3,-4.6,16,-36,-3.7,7.3
37.6,71.1,35.5,49,37.6,6.4,49.7,49.2,394,93.5,55.1,22.7,265.9,77.2,148.4,50,14.8,58.1,90.5,100,22,103.8,26,92.4,58.1,98,65,53.7,114.4,40,48.5,61,45,3,-20.6,102.5,29.6,43.7,158,126,49.2,40.5,85,55.1,67.1,59,52,90,56.3,209.4,72.6,293,67.3,32,46.2,43.8,19.2,20.2,127.2,29.4,71.1,46.2,55.8,107.1
9,7.8,249.4,145.1,1.3,-32.8,-8.4,3,-38.1,5.7,29,-0.4,67.3,22,-35.1,-38.6,-6.5,-15.5,-28.5,-24,-57,14.4,-88,45,-109.2,-41.3,-62.2,-71,-43.7,-15.9,-7,-21,31,-20.4,29,-22.8,54.1,7,-28.2,-33.5,67,6,-33.1,22.9,33.5,4.5,67.6,-6.2,18.5,149.2,38.4,44.1,344.1,-26.5,-5.6,10.4,2,-0.8,2.3,-6.1,15,-4.2,-40.8,21
100,161,131.1,56.4,82,96.8,54.9,67,227.2,174,61.6,96.2,153,118,80,127.8,199.8,65.8,81.7,217.7,304.6,115.5,117.2,179.3,195.3,209.9,158,83,-57.7,101.6,91.6,104,70.2,86,203,61.4,105,65.8,59,100,132.8,98,61.6,161.4,100.6,108,99,75.9,62.7,216.2,249.5,260,128.3,95.8,54.9,129,109.5,76.4,27.5,56.3,76.7,65.9,52,40.7
1365.5,2231.5,1613.3,1389.9,744.5,1076.6,1320.8,767.4,755.9,1612.5,1492.3,1303.2,1021,1169,1102.5,1585.6,2910.1,1170,1017.1,1519.7,1292.9,1239.5,1002.5,1382.7,1441.7,1106.6,1331.5,1252.4,1285.5,1493.9,979.6,1716.3,1253.8,2308.8,1049.8,823.9,792.8,826.9,712.1,1137.8,1412.2,824.5,508.1,675.5,518.2,1217.1,752.4,821.7,1233.6,1026.2,598.8,943.2,443.2,983.5,837.8,1424.8,631.8,1361.7,1153.9,1166.7,1067.8,1292.1,1126.6,1254.3
76.4,225.1,208.4,112.4,255.4,93,198.4,195,314.7,172.9,240,348,125.7,268.7,151,122.4,222.1,187.3,250.7,113.5,122.4,342.3,105,243.9,190.9,136.4,177.2,132.2,223,178,176.7,117.2,158,149,99.7,151,162.4,93,126,108.9,114,110,39.9,37.4,17.7,71.1,314.9,114.4,392.4,345.2,366.9,183.3,40.5,153.3,186.8,203.7,194.4,255.4,114.4,161,231.7,166.5,164.6,283.4
-1,-8,-28.5,-226.1,6.6,32,1,-3,-38.1,16,-4.3,38,43.9,1.8,-10.9,11.8,17,-34.2,5.5,52.8,24,-29.5,7,-10,29.6,21,0,-23,21,5.6,-3,-15.5,21,-1.2,-11.3,-38.1,9,1.8,-7,-8.4,1,3,-17.9,13.7,-0.8,43.3,33.8,-21.8,27.5,-723.6,-1437.2,-1821,-10.4,-7,7.3,-31,21.4,-21,-26.5,-17.3,-7,-4.2,2.3,-26.5
